style,gate,sample,pair_pt,algorithm,family,status,keypoints_a,keypoints_b,raw_matches,inlier_matches,correct,wrong,precision,mean_error_px,median_error_px,visualization,message
numeric,rotate,rot180,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/runs/cross_view_1024_keypointonly_multistate_stylespecific_guard_calib_0step_seed1234/splits/test/numeric/rotate/source_000007_105/pair_002779.pt,AKAZE-cross-Ht3,classical,ok,510,511,256,256,256,0,1.000000,0.000402,0.000068,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/对比文档/figures/other_models/numeric/rotate/rot180/AKAZE-cross-Ht3.png,raw matcher output; no geometric postprocessing
numeric,rotate,rot180,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/runs/cross_view_1024_keypointonly_multistate_stylespecific_guard_calib_0step_seed1234/splits/test/numeric/rotate/source_000007_105/pair_002779.pt,LightGlue-SIFT-Ht3,learned,ok,448,446,316,316,316,0,1.000000,0.709371,0.707603,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/对比文档/figures/other_models/numeric/rotate/rot180/LightGlue-SIFT-Ht3.png,raw matcher output; no geometric postprocessing
timestamp,rotate,rot90,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/runs/cross_view_1024_keypointonly_multistate_stylespecific_guard_calib_0step_seed1234/splits/test/timestamp/rotate/source_000123_20260514T144405909_NAS_PAN_L2b/pair_001509.pt,PlanetaryFeatureMatch-current,pfm,ok,0,0,71,71,7,64,0.098592,185.922058,98.885361,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/对比文档/figures/pfm/timestamp/rotate/rot90/rot90_source_000123_20260514T144405909_NAS_PAN_L2b_pair_001509.png,state=blend02540; score=learned; blend=2; margin=0.01; target_contrast=0
timestamp,rotate,rot90,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/runs/cross_view_1024_keypointonly_multistate_stylespecific_guard_calib_0step_seed1234/splits/test/timestamp/rotate/source_000123_20260514T144405909_NAS_PAN_L2b/pair_001509.pt,SIFT-r0.80-Ht2,classical,ok,1024,1024,256,256,256,0,1.000000,0.505212,0.508897,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/对比文档/figures/other_models/timestamp/rotate/rot90/SIFT-r0.80-Ht2.png,raw matcher output; no geometric postprocessing
timestamp,rotate,rot90,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/runs/cross_view_1024_keypointonly_multistate_stylespecific_guard_calib_0step_seed1234/splits/test/timestamp/rotate/source_000123_20260514T144405909_NAS_PAN_L2b/pair_001509.pt,RootSIFT-r0.80-Ht2,classical,ok,1024,1024,256,256,256,0,1.000000,0.504262,0.508909,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/对比文档/figures/other_models/timestamp/rotate/rot90/RootSIFT-r0.80-Ht2.png,raw matcher output; no geometric postprocessing
timestamp,rotate,rot90,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/runs/cross_view_1024_keypointonly_multistate_stylespecific_guard_calib_0step_seed1234/splits/test/timestamp/rotate/source_000123_20260514T144405909_NAS_PAN_L2b/pair_001509.pt,RootSIFT-r0.90-Ht2,classical,ok,1024,1024,256,256,256,0,1.000000,0.504262,0.508909,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/对比文档/figures/other_models/timestamp/rotate/rot90/RootSIFT-r0.90-Ht2.png,raw matcher output; no geometric postprocessing
timestamp,rotate,rot90,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/runs/cross_view_1024_keypointonly_multistate_stylespecific_guard_calib_0step_seed1234/splits/test/timestamp/rotate/source_000123_20260514T144405909_NAS_PAN_L2b/pair_001509.pt,ORB-cross-Ht3,classical,ok,1024,973,256,256,256,0,1.000000,1.031085,0.899378,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/对比文档/figures/other_models/timestamp/rotate/rot90/ORB-cross-Ht3.png,raw matcher output; no geometric postprocessing
timestamp,rotate,rot90,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/runs/cross_view_1024_keypointonly_multistate_stylespecific_guard_calib_0step_seed1234/splits/test/timestamp/rotate/source_000123_20260514T144405909_NAS_PAN_L2b/pair_001509.pt,AKAZE-cross-Ht3,classical,ok,279,344,171,171,147,24,0.859649,40.549572,0.112971,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/对比文档/figures/other_models/timestamp/rotate/rot90/AKAZE-cross-Ht3.png,raw matcher output; no geometric postprocessing
timestamp,rotate,rot90,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/runs/cross_view_1024_keypointonly_multistate_stylespecific_guard_calib_0step_seed1234/splits/test/timestamp/rotate/source_000123_20260514T144405909_NAS_PAN_L2b/pair_001509.pt,LightGlue-SIFT-Ht3,learned,ok,439,452,216,216,215,1,0.995370,0.663347,0.518530,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/对比文档/figures/other_models/timestamp/rotate/rot90/LightGlue-SIFT-Ht3.png,raw matcher output; no geometric postprocessing
timestamp,rotate,rot180,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/runs/cross_view_1024_keypointonly_multistate_stylespecific_guard_calib_0step_seed1234/splits/test/timestamp/rotate/source_000088_20260514T070226673_NAS_PAN_L2b/pair_002860.pt,PlanetaryFeatureMatch-current,pfm,ok,0,0,512,512,512,0,1.000000,0.000127,0.000133,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/对比文档/figures/pfm/timestamp/rotate/rot180/rot180_source_000088_20260514T070226673_NAS_PAN_L2b_pair_002860.png,state=blend02540; score=learned; blend=2; margin=0.01; target_contrast=0
timestamp,rotate,rot180,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/runs/cross_view_1024_keypointonly_multistate_stylespecific_guard_calib_0step_seed1234/splits/test/timestamp/rotate/source_000088_20260514T070226673_NAS_PAN_L2b/pair_002860.pt,SIFT-r0.80-Ht2,classical,ok,1024,1025,256,256,256,0,1.000000,0.704088,0.707118,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/对比文档/figures/other_models/timestamp/rotate/rot180/SIFT-r0.80-Ht2.png,raw matcher output; no geometric postprocessing
timestamp,rotate,rot180,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/runs/cross_view_1024_keypointonly_multistate_stylespecific_guard_calib_0step_seed1234/splits/test/timestamp/rotate/source_000088_20260514T070226673_NAS_PAN_L2b/pair_002860.pt,RootSIFT-r0.80-Ht2,classical,ok,1024,1025,256,256,256,0,1.000000,0.705426,0.707144,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/对比文档/figures/other_models/timestamp/rotate/rot180/RootSIFT-r0.80-Ht2.png,raw matcher output; no geometric postprocessing
timestamp,rotate,rot180,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/runs/cross_view_1024_keypointonly_multistate_stylespecific_guard_calib_0step_seed1234/splits/test/timestamp/rotate/source_000088_20260514T070226673_NAS_PAN_L2b/pair_002860.pt,RootSIFT-r0.90-Ht2,classical,ok,1024,1025,256,256,256,0,1.000000,0.705426,0.707144,/home/xjw/code/deeplearning/PlanetaryFeatureMatch/对比文档/figures/other_models/timestamp/rotate/rot180/RootSIFT-r0.90-Ht2.png,raw matcher output; no geometric postprocessing
